Metric,Before Transformation,After Log + Scaling
R²,0.7820656931554564,0.7538085263715159
MAE,24570.57135047102,26186.919520961685
MSE,1671627225.2348635,1888368912.1585803
RMSE,40885.538093987016,43455.36689706555
